KEY,SKEY,AAF1,CBAA_1
100000484,197100000351,2,3
100000485,197100000956,2,2
100000486,197100001061,2,3
100000487,197100001278,1,2
100000488,197100000726,1,4
100000489,197100000561,2,4
100000490,197100000787,2,2
100000491,197100001006,2,2
100000492,197100000677,1,4
100000493,197100000850,1,2
100000494,197100001019,2,3
100000495,197100000494,1,3
100000496,197100001048,1,4
100000497,197100001175,1,3
100000498,197100001262,2,3
100000499,197100000872,2,3
100000500,197100001021,1,3
100000501,197100000574,1,4
100000502,197100001191,2,3
100000503,197100001163,2,4
100000504,197100000869,1,2
100000505,197100001110,2,4
100000506,197100001241,2,4
100000507,197100000332,2,4
100000508,197100001171,1,3
100000509,197100001310,1,3
100000510,197100001174,1,3
100000511,197100000865,1,2
100000512,197100001219,1,2
100000513,197100001121,1,3
100000514,197100001326,1,4
100000515,197100001271,1,4
100000516,197100000481,1,2
100000517,197100001266,1,3
100000518,197100000920,1,4
100000519,197100000998,1,3
100000520,197100001218,1,4
100000521,197100000565,1,3
100000522,197100000819,1,3
100000523,197100001346,1,3
100000524,197100001381,1,3
100000525,197100001089,1,4
100000526,197100000884,1,4
100000527,197100000977,2,3
100000528,197100001193,2,3
100000529,197100000458,2,4
100000530,197100000464,1,4
100000531,197100001109,2,3
100000532,197100000914,2,4
100000533,197100000435,1,4
100000534,197100000893,1,4
100000535,197100000915,2,4
100000536,197100000225,1,1
100000537,197100000049,1,3
100000538,197100001224,2,2
100000539,197100000769,1,4
100000540,197100001424,1,2
100000541,197100001261,2,3
100000542,197100000138,1,2
100000543,197100001180,1,4
100000544,197100001062,1,2
100000545,197100000912,2,4
100000546,197100001125,2,2
100000547,197100000580,1,4
100000548,197100001355,1,1
100000549,197100001315,1,2
100000550,197100001153,2,2
100000551,197100000993,1,4
100000552,197100000046,2,4
100000553,197100001221,1,4
100000554,197100001318,1,4
100000555,197100000979,1,4
100000556,197100001151,1,4
100000557,197100001334,2,2
100000559,197100000913,2,3
100000560,197100000862,2,3
100000561,197100001313,1,2
100000562,197100000026,1,4
100000563,197100000923,2,2
100000564,197100001099,2,3
100000565,197100001304,1,3
100000566,197100001348,1,3
100000567,197100001298,1,2
100000568,197100000053,2,3
100000569,197100000889,2,3
100000570,197100001141,1,4
100000571,197100001030,1,3
100000572,197100001249,2,4
100000573,197100001200,2,2
100000574,197100001293,1,4
100000575,197100001330,1,4
100000576,197100000127,1,2
100000577,197100001311,2,3
100000578,197100001453,1,3
100000579,197100000031,1,2
100000580,197100001411,1,4
100000581,197100001214,2,4
100000582,197100001319,1,1
100000583,197100001367,1,3
100000584,197100001011,1,3
100000585,197100000507,1,1
100000586,197100001314,2,2
100000587,197100001225,1,2
100000588,197100000202,2,2
100000589,197100001139,2,3
100000590,197100001077,2,2
100000591,197100000152,1,3
100000592,197100001488,2,3
100000593,197100000273,2,3
100000594,197100001401,1,1
100000595,197100001457,2,3
100000596,197100001329,1,4
100000597,197100001455,1,2
100000598,197100000981,2,4
100000599,197100001270,2,4
100000600,197100001473,1,3
100000601,197100001383,2,4
100000602,197100001409,2,4
100000603,197100001295,2,2
100000604,197100001366,1,3
100000605,197100001206,2,4
100000606,197100001312,1,1
100000607,197100001335,2,4
100000608,197100001253,1,3
100000609,197100001167,2,3
100000610,197100001477,2,2
100000611,197100001391,2,4
100000612,197100000944,1,2
100000613,197100000749,2,1
100000614,197100000941,1,2
100000615,197100001242,2,3
100000616,197100001071,2,4
100000617,197100001475,1,4
100000618,197100000344,2,1
100000619,197100001440,1,3
100000620,197100001354,1,4
100000621,197100001437,2,4
100000622,197100001467,1,3
100000623,197100000701,2,4
100000624,197100001407,1,4
100000625,197100001170,1,3
100000626,197100001303,2,1
100000627,197100001444,1,3
100000628,197100001260,1,3
100000629,197100001353,2,4
100000630,197100001231,2,3
100000631,197100001495,1,3
100000632,197100001373,2,2
100000633,197100001469,1,4
100000634,197100001394,1,1
100000635,197100000179,2,4
100000636,197100001255,1,4
100000637,197100000015,2,3
100000638,197100001285,1,3
100000639,197100001384,2,4
100000640,197100001563,1,3
100000641,197100000415,2,2
100000642,197100001320,2,3
100000643,197100000542,1,4
100000645,197100000396,2,3
100000646,197100001352,2,4
100000647,197100001436,1,2
100000648,197100001233,2,3
100000649,197100001478,1,3
100000650,197100001177,1,4
100000651,197100001496,1,4
100000652,197100001217,2,4
100000653,197100001284,1,4
100000654,197100000857,2,3
100000655,197100001497,2,2
100000656,197100001555,2,2
100000657,197100001501,1,3
100000658,197100000958,1,4
100000659,197100001553,2,2
100000660,197100000385,2,4
100000661,197100001371,2,3
100000662,197100000424,1,3
100000663,197100001265,1,4
100000664,197100001404,1,3
100000665,197100001431,1,2
100000666,197100001226,1,3
100000667,197100001529,1,4
100000668,197100000763,1,3
100000669,197100001454,2,3
100000670,197100001523,1,3
100000671,197100001286,2,2
100000672,197100001309,2,3
100000673,197100001450,2,4
100000674,197100000806,2,4
100000675,197100000564,1,4
100000676,197100001332,2,3
100000677,197100000279,1,1
100000678,197100001397,1,3
100000679,197100001216,2,4
100000680,197100001514,1,1
100000681,197100000879,2,3
100000682,197100001503,2,3
100000683,197100001385,1,3
100000684,197100001513,2,4
100000685,197100000835,2,2
100000686,197100001516,2,4
100000687,197100001568,2,3
100000688,197100000533,1,3
100000689,197100001486,1,3
100000690,197100001131,2,3
100000691,197100001382,1,3
100000692,197100001327,1,4
100000693,197100000123,2,3
100000694,197100000065,2,2
100000695,197100001322,1,3
100000696,197100001541,1,4
100000697,197100001237,1,3
100000698,197100001493,2,3
100000699,197100001321,2,4
100000700,197100001360,2,4
100000701,197100000739,1,4
100000702,197100001461,1,4
100000703,197100001377,1,3
100000704,197100001586,2,2
100000705,197100000700,1,2
100000706,197100000016,1,1
100000707,197100001585,1,4
100000708,197100001612,1,3
100000709,197100001487,2,1
100000710,197100001459,2,3
100000711,197100001405,1,4
100000712,197100001427,1,3
100000713,197100001483,1,3
100000714,197100001533,1,3
